property_id,property_type,city,country_code,currency_code,price_local,size_sqm,bedrooms,bathrooms,floor_number,year_built,amenities,listing_date,status,agent_id
1083,Villa,Abu Dhabi,UAE,AED,4063141,523,0,3,0,2005,Balcony|Pool|Parking,2022-09-20,Sold,1
1198,Villa,Los Angeles,US,USD,690774,359,5,3,0,2019,Garden|Parking,2022-06-21,Available,10
1122,Apartment,Cairo,EG,EGP,4053544,530,1,2,17,2010,Security|Maid Room|Gym,2022-05-01,Rented,7
1071,Apartment,Sharjah,UAE,AED,3489411,480,0,4,23,1992,Balcony|Maid Room,2023-05-28,Under Offer,8
1098,Villa,Ajman,UAE,AED,2976938,567,6,3,0,2008,Parking|Pool|Balcony,2022-10-01,Rented,4
1007,Penthouse,New Cairo,EG,EGP,2371534,157,2,1,16,1996,Pool|Elevator|Balcony|Parking|Gym,2023-03-22,Sold,10
1200,Townhouse,London,UK,GBP,1192857,424,5,1,0,1997,Pool|Maid Room,2023-09-01,Available,2
1189,Villa,London,UK,GBP,955126,91,0,4,0,2013,Pool|Gym,2023-06-02,Rented,15
1142,Villa,Jeddah,SA,SAR,3803350,445,5,4,0,1994,Garden|Balcony|Elevator,2023-12-23,Sold,1
1138,Penthouse,Chicago,US,USD,2274887,587,3,4,21,2012,Security|Elevator,2023-12-20,Available,12
1058,Duplex,Dubai,UAE,AED,3051516,65,1,4,30,1992,Balcony|Pool|Gym|Maid Room,2023-10-13,Rented,3
1064,Duplex,Chicago,US,USD,1501034,122,3,1,3,1997,Garden|Security|Maid Room|Elevator|Balcony,2023-10-11,Under Offer,20
1152,Studio,Leeds,UK,GBP,1386115,247,0,4,23,2004,Parking|Pool|Security|Maid Room,2022-09-14,Available,12
1137,Duplex,Cairo,EG,EGP,11790691,488,3,2,22,2017,Garden|Elevator|Gym,2022-05-23,Under Offer,16
1177,Townhouse,Los Angeles,US,USD,2960286,130,2,2,0,1993,Garden|Balcony|Pool|Elevator,2022-09-13,Available,7
1129,Apartment,Houston,US,USD,1287055,526,1,2,18,1999,Elevator|Pool|Gym,2023-11-05,Available,19
1096,Penthouse,Bristol,UK,GBP,292781,385,1,2,0,2021,Balcony|Garden|Elevator,2023-10-19,Under Offer,2
1072,Townhouse,Riyadh,SA,SAR,1166144,454,4,4,0,2017,Elevator|Pool|Security|Balcony|Gym,2022-11-29,Sold,1
1074,Villa,Birmingham,UK,GBP,2192477,117,1,2,0,2018,Parking|Security|Pool|Balcony,2023-04-05,Under Offer,19
1115,Penthouse,Cairo,EG,EGP,13012522,62,3,3,22,1994,Balcony|Parking,2023-08-16,Available,7
1164,Villa,Giza,EG,EGP,6120658,64,0,4,0,2016,Gym|Maid Room|Garden|Balcony,2023-11-05,Rented,1
1155,Studio,Manchester,UK,GBP,541381,262,4,4,7,2008,Parking|Gym|Maid Room|Pool,2022-12-26,Rented,13
1086,Villa,Miami,US,USD,709560,380,5,1,0,1992,Parking|Balcony|Gym|Pool|Security,2023-12-03,Rented,6
1186,Duplex,Ajman,UAE,AED,3680390,78,3,4,22,2005,Balcony|Parking,2023-11-29,Rented,20
1038,Villa,Houston,US,USD,2470955,95,2,1,0,2001,Maid Room|Security|Balcony|Parking,2022-04-16,Available,16
1133,Penthouse,6th October,EG,EGP,10514732,66,3,1,12,1995,Garden|Security,2022-11-29,Rented,20
1136,Studio,Giza,EG,EGP,10161651,447,2,2,6,2001,Balcony|Parking|Pool|Garden,2022-11-30,Rented,8
1019,Villa,Leeds,UK,GBP,1620760,413,0,3,0,2001,Security|Balcony|Gym,2022-12-29,Rented,4
1140,Apartment,Ajman,UAE,AED,4119606,396,0,2,22,2018,Maid Room|Elevator,2022-12-23,Rented,16
1121,Studio,Houston,US,USD,1168622,437,3,2,8,2014,Security|Pool,2023-04-06,Under Offer,3
1037,Apartment,Abu Dhabi,UAE,AED,6693709,363,5,2,7,2013,Gym|Balcony|Maid Room|Parking,2023-05-11,Under Offer,7
1077,Duplex,Cairo,EG,EGP,5267195,107,5,3,29,2012,Gym|Garden|Elevator|Maid Room,2023-11-04,Sold,9
